district,LOR,street,LOR_2021,year,month,hour,weekday,category,accident_kind,accident_type,light_condition,car,pedestrian,motorcycle,goods_vehicle,others,road_condition,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
3,3061429.0,Greifswalder Straße,3601449.0,2018,12,7,4,3,5,2,0,1,0,0,0,0,0,800963.6726,5830518.877,13.43888487,52.54139522
1,1011303.0,Alexanderplatzviertel,1100310.0,2018,9,9,5,2,6,4,0,0,1,0,0,0,0,799290.1794,5827943.426,13.41196387,52.519232
3,3061332.0,Helmholtzplatz,3601347.0,2018,6,15,6,3,0,3,0,1,0,0,0,0,0,799306.3017,5830333.964,13.41435296,52.54065067
3,3061434.0,Anton-Saefkow-Park,3601451.0,2018,11,13,3,3,2,6,0,1,0,0,0,0,0,800668.6689,5829888.196,13.43397739,52.53590516
3,3061126.0,Arnimplatz,3601139.0,2018,5,21,5,3,5,3,0,1,0,0,0,0,0,799237.9383,5831935.421,13.41479092,52.55504275
1,1011303.0,Alexanderplatzviertel,1100310.0,2018,10,16,5,3,0,6,1,1,0,0,0,0,0,798912.6368,5828094.123,13.40655166,52.52078986
9,9020601.0,Schnellerstraße                                                                                     ,9200613.0,2018,6,13,3,3,3,2,0,0,0,0,0,1,0,806521.9732,5821212.702,13.51202572,52.45489279
10,10010204.0,Wuhletalstraße                                                                                      ,10100206.0,2018,5,14,6,3,5,3,0,1,0,0,0,0,0,808893.3892,5833387.622,13.55811132,52.56266698
3,3061429.0,Greifswalder Straße,3601449.0,2018,4,9,5,2,3,6,0,0,0,0,0,0,0,801196.1956,5830889.629,13.44263928,52.54458983
12,12231101.0,Hermsdorf,12400723.0,2018,9,18,7,3,5,2,0,1,0,0,0,0,0,792194.022,5838108.315,13.31663618,52.61420498
1,1011303.0,Alexanderplatzviertel,1100310.0,2018,7,18,2,3,3,6,0,1,0,0,0,1,0,799345.1529,5827991.89,13.41281526,52.51963624
10,10030726.0,Alt-Biesdorf,10300733.0,2018,10,12,6,2,5,2,0,1,0,0,0,0,0,808741.3307,5827422.738,13.55033405,52.50929747
1,1011303.0,Alexanderplatzviertel,1100310.0,2018,6,9,4,2,0,7,0,0,0,0,0,0,0,799760.5423,5828624.861,13.41948943,52.52508164
3,3061435.0,Conrad-Blenkle-Straße,3601452.0,2018,9,13,2,2,5,2,0,0,0,1,0,0,0,801561.0127,5829004.474,13.44629215,52.52749131
