OBJECTID;LAND;BEZ;LOR;STRASSE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;USTRZUSTAND;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
198081;11;12;12214527;Alt-Tegel;2019;8;12;4;3;5;7;0;0;1;0;1;0;0;0;790382,2859;5834609,562;13,28688;52,58381
198082;11;3;3030406;Alt-Karow;2019;8;9;3;3;0;3;0;0;1;0;0;0;1;0;802745,303;5839064,717;13,47288;52,617
198083;11;6;6040703;Nikolassee;2019;8;11;4;3;5;3;0;0;1;0;0;0;0;0;785940,6961;5817242,8;13,20659;52,43046
198084;11;8;8010510;Gewerbegebiet Köllnische Heide;2019;8;8;3;3;5;2;0;1;1;0;0;0;0;0;802495,323;5822550,456;13,45416;52,46913
198085;11;4;4030620;Alt-Lietzow;2019;8;7;3;3;5;2;0;1;1;0;0;0;0;0;791904,161;5827432,757;13,30297;52,51866
198086;11;11;11030721;Rüdigerstraße;2019;8;10;4;3;5;5;0;0;1;0;0;0;1;0;805065,1366;5828068,406;13,49693;52,51715
198087;11;1;1022105;Zwinglistraße;2019;8;10;4;3;5;2;0;0;1;0;0;0;0;0;793708,979;5828405,774;13,33036;52,52641
198088;11;3;3040614;Pankow Zentrum;2019;8;7;3;3;5;3;0;1;1;0;0;0;0;0;799982,6898;5835097,359;13,4286;52,58297
198089;11;11;11010103;Dorf Falkenberg;2019;8;7;3;2;3;6;0;0;0;0;1;0;1;0;809149,8274;5834434,031;13,56286;52,5719
198090;11;1;1022206;Lüneburger Straße;2019;8;10;4;2;6;7;0;0;1;1;0;0;0;0;796249,2749;5828293,77;13,36759;52,52403
198091;11;9;9020802;Köllnische Vorstadt;2019;8;7;3;3;2;6;0;0;1;0;1;0;0;0;810121,8602;5820417,14;13,5641;52,44573
198092;11;9;9010201;Am Treptower Park Süd;2019;8;9;4;3;5;2;0;1;1;0;0;0;0;0;803087,4944;5824001,539;13,46417;52,4818
198093;11;4;4041238;Kissinger Straße;2019;8;15;3;3;1;5;0;0;1;0;0;0;0;0;791325,5746;5822594,394;13,29024;52,47559
198094;11;11;11030721;Rüdigerstraße;2019;8;16;3;3;4;6;0;1;1;0;0;0;0;0;805206,4246;5828089,675;13,49902;52,51726
198095;11;7;7060603;Marienfelde Nordost;2019;8;9;4;3;5;2;0;1;1;0;0;0;0;0;798458,0235;5816858,123;13,38982;52,42032
198096;11;12;12231102;Frohnau;2019;8;15;3;3;0;3;0;0;0;0;1;0;1;1;790597,9421;5839715,374;13,29454;52,62947
198097;11;5;5010206;Gütersloher Weg;2019;8;15;3;3;0;3;0;0;1;0;1;0;0;1;781252,7204;5830770,05;13,14924;52,55418
198098;11;3;3071536;Teutoburger Platz;2019;8;7;4;3;5;2;0;1;0;0;0;0;1;0;799143,9981;5829203,411;13,41095;52,53061
198099;11;4;4020207;Flatowallee;2019;8;16;3;2;5;7;0;0;1;0;0;0;0;0;788126,0595;5826660,205;13,24678;52,51374
198100;11;5;5020628;Graetschelsteig;2019;8;15;3;3;0;3;0;0;1;0;1;0;0;0;784107,4778;5826571,67;13,18764;52,51506
