OBJECTID;LAND;BEZ;LOR;STRASSE;LOR_ab_2021;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstig;STRZUSTAND;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
205025;11;7;7020201;Bayerischer Platz;7200307;2018;9;19;7;3;2;6;0;0;1;0;1;0;0;0;794950,3774;5824650,999;13,34527355;52,49208231
205026;11;3;3050923;Weißenseer Spitze;3500934;2018;9;8;3;3;0;1;0;0;0;0;1;0;0;0;801057,2726;5831414,547;13,44107268;52,5493715
205027;11;5;5010102;Goltzstraße;5100103;2018;9;13;7;3;5;3;0;1;1;0;0;0;0;0;785208,3767;5831862,668;13,20836587;52,56191926
205028;11;11;11041128;Sewanstraße;11401136;2018;9;19;5;3;5;2;1;1;1;0;0;0;0;0;805898,1007;5825851,253;13,50712749;52,49681496
205029;11;4;4051551;Brabanter Platz;4501148;2018;9;13;7;3;0;2;0;1;1;0;0;0;0;0;792837,5617;5823210,159;13,31297733;52,48030317
205030;11;7;2020203;Viktoriapark;2200207;2018;9;8;3;3;2;6;0;0;1;0;1;0;0;0;797138,9412;5824763,923;13,3775148;52,49190763
205031;11;7;7040405;Rathaus Tempelhof;7400927;2018;9;6;3;3;5;7;0;0;1;0;0;0;1;0;798794,6932;5821822,988;13,39919461;52,46464219
205032;11;11;11030618;Fennpfuhl West;11300618;2018;9;8;3;3;2;6;0;0;1;0;0;0;0;0;802449,312;5828881,582;13,45923464;52,52589776
205033;11;2;2010102;Mehringplatz;2100102;2018;9;1;7;3;5;7;2;0;1;0;0;0;1;0;798322,0649;5825625,229;13,39566054;52,49898286
205034;11;2;2050602;Samariterviertel;2500728;2018;9;18;3;3;2;6;1;0;1;0;1;0;0;0;802900,0718;5827649,473;13,46473669;52,51460432
205035;11;3;3071536;Teutoburger Platz;3701554;2018;9;20;7;1;0;7;1;1;0;0;0;1;0;0;799114,8688;5830271,855;13,41148277;52,54019906
205036;11;6;6040810;Dahlem;6400844;2018;9;19;5;2;5;2;0;1;1;0;0;0;0;0;792355,0426;5820818,798;13,30379691;52,45912351
205037;11;12;12214424;Scharnweberstraße                                                                                   ;12200309;2018;9;23;6;3;2;6;2;0;1;0;0;0;0;1;793255,511;5832589,265;13,3273837;52,5641584
205038;11;9;9020801;Spindlersfeld;9200818;2018;9;18;3;3;2;6;1;0;1;0;1;0;0;0;809777,0355;5820607,81;13,55921559;52,44763695
205039;11;5;5010314;Carl-Schurz-Straße                                                                                  ;5100316;2018;9;20;6;3;6;7;1;0;0;1;0;1;0;0;784986,5202;5829051,594;13,20268923;52,5368316
205040;11;3;3010102;Buch;3100103;2018;9;18;5;3;5;3;0;1;1;0;0;0;0;0;804436,178;5840688,804;13,49927346;52,63061316
205041;11;7;7020201;Bayerischer Platz;7200307;2018;9;18;3;3;5;2;1;1;1;0;0;0;0;0;794963,3163;5824306,103;13,34515827;52,48898356
205042;11;2;2020206;Graefekiez;2200212;2018;9;20;6;3;1;5;2;1;1;0;0;0;0;0;799869,6955;5824462,415;13,41734424;52,48771183
205043;11;1;1011304;Karl-Marx-Allee;1100311;2018;9;22;6;3;5;2;2;0;1;0;0;0;0;0;799734,446;5827561,896;13,41814812;52,51556819
205044;11;6;6030502;Zehlendorf Süd                                                                                      ;6300525;2018;9;8;3;3;0;1;0;1;0;0;0;0;0;0;790234,9453;5814947,731;13,26758438;52,40761764
205045;11;10;10010203;Gewerbegebiet Bitterfelder Straße                                                                   ;10100205;2018;9;7;6;3;0;3;0;0;0;0;1;1;0;1;806950,727;5832584,259;13,52879955;52,55656583
205046;11;4;4030726;Droysenstraße;4500936;2018;9;18;3;3;5;2;0;0;1;0;0;0;0;0;792309,7036;5825385,011;13,30713463;52,50008311
205047;11;6;6010101;Fichtenberg;6100101;2018;9;19;6;2;6;7;2;0;1;1;0;0;0;0;793451,7452;5820672,975;13,3197637;52,45722847
205048;11;9;9020701;Adlershof West;9200715;2018;9;18;3;3;2;6;0;0;1;0;0;0;0;0;809337,736;5818509,287;13,55083023;52,4290789
205049;11;5;5040938;Kafkastraße                                                                                         ;5400945;2018;9;7;3;3;4;2;0;1;1;0;0;0;0;0;780055,8171;5819247,508;13,12194052;52,45147594
205050;11;8;8010214;Glasower Straße;8100209;2018;9;19;6;3;3;6;1;1;0;0;1;0;0;0;802092,0397;5822441,483;13,44814378;52,46837286
205051;11;5;5020626;Adamstraße                                                                                          ;5200630;2018;9;19;6;3;5;2;0;1;1;0;0;0;0;0;784148,8035;5827297,437;13,18887206;52,52154111
205052;11;2;2040502;Friedenstraße;2400521;2018;9;18;6;3;5;3;0;1;1;0;0;0;0;0;800459,645;5828466,641;13,4296202;52,52327866
205053;11;5;5020523;Maulbeerallee;5200527;2018;9;17;3;3;5;3;0;1;1;0;0;0;0;0;782319,0391;5827350,057;13,16202025;52,52296342
205054;11;1;1033102;Gesundbrunnen;1300733;2018;9;18;6;3;2;4;0;0;1;1;1;0;0;0;797342,7407;5831210,678;13,38627052;52,54958434
205055;11;9;9031001;Bohnsdorf;9301025;2018;9;7;3;3;2;6;0;0;1;0;0;0;1;0;809171,8508;5815154,256;13,54529938;52,39910486
205056;11;3;3020209;Niederschönhausen;3200205;2018;9;18;6;2;5;3;0;0;1;0;1;0;0;0;798160,222;5836121,647;13,40270618;52,59315727
205057;11;1;1011103;Lützowstraße                                                                                        ;1100103;2018;9;17;3;3;3;6;0;0;1;0;1;0;0;0;795554,8587;5825769,384;13,35514333;52,50178081
205058;11;12;12214422;Klixstraße                                                                                          ;12200310;2018;9;17;3;3;2;6;0;0;1;0;0;0;0;0;792065,1339;5832942,088;13,31018284;52,56796122
205059;11;7;7010101;Wittenbergplatz/Viktoria-Luise-Platz;7100101;2018;9;18;6;3;5;2;0;0;1;0;1;0;0;0;794928,0091;5825680,79;13,34585684;52,50132579
205060;11;8;8041037;Alt-Rudow;8401243;2018;9;16;3;3;6;4;0;0;1;1;0;0;0;0;805671,9554;5817010,031;13,4957125;52,41770202
205061;11;9;9020502;Oberschöneweide Ost;9200512;2018;9;16;3;3;2;6;0;0;1;0;0;0;0;0;809365,828;5821509,808;13,55401979;52,45595335
205062;11;1;1044203;Leopoldplatz;1401048;2018;9;17;6;3;1;5;0;1;1;0;0;0;1;0;795173,0248;5831295,898;13,35444041;52,5515283
205063;11;9;9020802;Köllnische Vorstadt                                                                                 ;9200819;2018;9;15;6;3;1;5;0;1;0;0;0;0;0;0;810194,9118;5820381,451;13,56513444;52,44537147
